federal_state,2017,2018,2019,2020,2021,2022,2023,2024
Baden-Württemberg,159,241,455,704,1116,1539,2285,3512
Bayern,226,363,539,764,1213,1893,2821,5052
Berlin,16,26,46,85,152,241,353,588
Brandenburg,8,28,61,94,181,251,419,759
Bremen,0,4,16,36,48,50,72,112
Hamburg,13,62,79,110,190,221,328,484
Hessen,54,141,231,311,469,647,1032,1823
Mecklenburg-Vorpommern,16,28,43,60,96,154,237,427
Niedersachsen,65,214,327,486,755,1110,1627,2931
Nordrhein-Westfalen,82,175,369,585,940,1581,2517,4406
Rheinland-Pfalz,30,75,204,311,436,595,828,1525
Saarland,0,6,19,35,49,65,117,205
Sachsen,8,62,104,260,371,502,750,1144
Sachsen-Anhalt,40,65,83,125,171,299,421,667
Schleswig-Holstein,27,103,151,214,313,462,677,1114
Thüringen,30,75,122,159,235,338,493,836
